budget,recovery_step,slowdown
0,97,0
5,98,1
10,99,2
12,101,4
14,103,6
16,105,8
18,107,10
20,109,12
22,111,14
24,113,16
26,113,16
28,113,16
30,113,16
35,113,16
40,113,16
