budget,recovery_step,slowdown
0,97,0
1,98,1
2,99,2
3,100,3
4,101,4
5,102,5
6,103,6
8,105,8
10,107,10
12,109,12
14,109,12
16,109,12
20,109,12
24,109,12
30,109,12
40,109,12
