k,seed,first,stable,views,ballot
10,1,84,84,1,2
10,2,83,83,1,2
10,3,84,84,1,2
10,4,84,84,1,2
10,5,85,85,1,2
10,6,84,84,1,2
10,7,84,84,1,2
10,8,85,85,1,2
10,9,84,125,2,3
10,10,84,84,1,2
10,11,83,83,1,2
10,12,85,85,1,2
10,13,84,84,1,2
10,14,85,85,1,2
10,15,85,85,1,2
10,16,84,84,1,2
10,17,85,85,1,2
10,18,84,84,1,2
10,19,84,84,1,2
10,20,84,84,1,2
12,1,86,86,1,2
12,2,84,84,1,2
12,3,85,85,1,2
12,4,85,85,1,2
12,5,85,85,1,2
12,6,85,85,1,2
12,7,86,86,1,2
12,8,85,85,1,2
12,9,86,127,2,3
12,10,86,86,1,2
12,11,85,85,1,2
12,12,86,86,1,2
12,13,85,85,1,2
12,14,86,86,1,2
12,15,87,127,2,3
12,16,85,85,1,2
12,17,85,85,1,2
12,18,84,84,1,2
12,19,86,86,1,2
12,20,85,85,1,2
14,1,87,87,1,2
14,2,86,86,1,2
14,3,86,86,1,2
14,4,87,87,1,2
14,5,85,129,2,3
14,6,86,86,1,2
14,7,87,129,2,3
14,8,86,86,1,2
14,9,87,129,2,3
14,10,86,86,1,2
14,11,86,86,1,2
14,12,87,129,2,3
14,13,87,129,2,3
14,14,87,87,1,2
14,15,88,129,2,3
14,16,86,129,2,3
14,17,85,85,1,2
14,18,86,86,1,2
14,19,87,87,1,2
14,20,86,86,1,2
16,1,89,131,2,3
16,2,87,131,2,3
16,3,88,131,2,3
16,4,87,131,2,3
16,5,87,131,2,3
16,6,88,131,2,3
16,7,88,131,2,3
16,8,87,131,2,3
16,9,87,131,2,3
16,10,87,131,2,3
16,11,88,131,2,3
16,12,88,131,2,3
16,13,88,131,2,3
16,14,89,131,2,3
16,15,89,131,2,3
16,16,88,131,2,3
16,17,87,131,2,3
16,18,88,131,2,3
16,19,87,131,2,3
16,20,87,131,2,3
18,1,90,132,2,3
18,2,88,132,2,3
18,3,89,132,2,3
18,4,89,132,2,3
18,5,89,132,2,3
18,6,90,132,2,3
18,7,89,132,2,3
18,8,89,132,2,3
18,9,89,132,2,3
18,10,89,132,2,3
18,11,90,132,2,3
18,12,89,132,2,3
18,13,90,132,2,3
18,14,90,132,2,3
18,15,91,132,2,3
18,16,90,132,2,3
18,17,89,132,2,3
18,18,89,132,2,3
18,19,88,132,2,3
18,20,89,132,2,3
20,1,91,132,2,3
20,2,90,132,2,3
20,3,91,133,2,3
20,4,91,132,2,3
20,5,90,132,2,3
20,6,90,132,2,3
20,7,91,132,2,3
20,8,91,133,2,3
20,9,90,132,2,3
20,10,90,133,2,3
20,11,92,133,2,3
20,12,91,133,2,3
20,13,91,132,2,3
20,14,92,132,2,3
20,15,91,132,2,3
20,16,91,132,2,3
20,17,90,132,2,3
20,18,91,132,2,3
20,19,90,132,2,3
20,20,90,132,2,3
22,1,92,134,2,3
22,2,92,134,2,3
22,3,93,134,2,3
22,4,93,134,2,3
22,5,92,164,3,4
22,6,92,134,2,3
22,7,93,134,2,3
22,8,92,134,2,3
22,9,92,134,2,3
22,10,92,134,2,3
22,11,92,134,2,3
22,12,92,134,2,3
22,13,92,164,3,4
22,14,93,134,2,3
22,15,92,134,2,3
22,16,92,134,2,3
22,17,92,134,2,3
22,18,93,134,2,3
22,19,92,134,2,3
22,20,92,134,2,3
24,1,94,166,3,4
24,2,94,166,3,4
24,3,95,136,2,3
24,4,95,166,3,4
24,5,94,166,3,4
24,6,94,166,3,4
24,7,94,166,3,4
24,8,94,166,3,4
24,9,94,166,3,4
24,10,94,166,3,4
24,11,94,136,2,3
24,12,94,136,2,3
24,13,94,166,3,4
24,14,94,166,3,4
24,15,94,136,2,3
24,16,94,166,3,4
24,17,94,136,2,3
24,18,95,136,2,3
24,19,94,166,3,4
24,20,94,166,3,4
