k,seed,first,stable,views,ballot
6,1,116,175,2,3
6,2,116,116,1,2
6,3,116,116,1,2
6,4,116,116,1,2
6,5,116,116,1,2
6,6,116,116,1,2
6,7,116,116,1,2
6,8,117,117,1,2
6,9,116,116,1,2
6,10,116,116,1,2
6,11,116,116,1,2
6,12,117,117,1,2
6,13,116,116,1,2
6,14,116,116,1,2
6,15,116,116,1,2
6,16,116,116,1,2
6,17,116,116,1,2
6,18,116,116,1,2
6,19,116,116,1,2
6,20,116,116,1,2
7,1,116,306,5,6
7,2,116,116,1,2
7,3,116,116,1,2
7,4,116,116,1,2
7,5,116,116,1,2
7,6,116,116,1,2
7,7,116,116,1,2
7,8,117,117,1,2
7,9,116,116,1,2
7,10,116,116,1,2
7,11,116,116,1,2
7,12,117,117,1,2
7,13,116,116,1,2
7,14,116,116,1,2
7,15,117,117,1,2
7,16,116,306,5,6
7,17,116,116,1,2
7,18,116,116,1,2
7,19,116,116,1,2
7,20,116,116,1,2
8,1,116,262,4,5
8,2,116,116,1,2
8,3,116,116,1,2
8,4,116,116,1,2
8,5,116,116,1,2
8,6,117,117,1,2
8,7,116,116,1,2
8,8,117,117,1,2
8,9,116,116,1,2
8,10,116,262,4,5
8,11,116,262,4,5
8,12,118,118,1,2
8,13,116,116,1,2
8,14,116,116,1,2
8,15,118,118,1,2
8,16,116,262,4,5
8,17,116,262,4,5
8,18,116,116,1,2
8,19,116,116,1,2
8,20,116,116,1,2
