k,seed,first,stable,views,ballot
9,1,117,258,4,5
9,2,116,116,1,2
9,3,116,116,1,2
9,4,116,116,1,2
9,5,116,258,4,5
9,6,117,117,1,2
9,7,116,116,1,2
9,8,117,117,1,2
9,9,116,116,1,2
9,10,117,258,4,5
9,11,116,258,4,5
9,12,118,118,1,2
9,13,116,116,1,2
9,14,116,258,4,5
9,15,118,118,1,2
9,16,117,258,4,5
9,17,116,258,4,5
9,18,116,116,1,2
9,19,116,116,1,2
9,20,116,116,1,2
10,1,117,259,4,5
10,2,116,116,1,2
10,3,116,116,1,2
10,4,116,116,1,2
10,5,117,259,4,5
10,6,117,117,1,2
10,7,116,116,1,2
10,8,117,259,4,5
10,9,116,116,1,2
10,10,117,259,4,5
10,11,116,259,4,5
10,12,118,118,1,2
10,13,116,259,4,5
10,14,117,259,4,5
10,15,118,259,4,5
10,16,117,259,4,5
10,17,117,259,4,5
10,18,117,117,1,2
10,19,116,116,1,2
10,20,117,117,1,2
11,1,117,260,4,5
11,2,117,117,1,2
11,3,116,260,4,5
11,4,116,116,1,2
11,5,117,260,4,5
11,6,117,260,4,5
11,7,117,117,1,2
11,8,117,260,4,5
11,9,117,260,4,5
11,10,118,260,4,5
11,11,116,260,4,5
11,12,118,260,4,5
11,13,117,260,4,5
11,14,118,260,4,5
11,15,118,260,4,5
11,16,117,260,4,5
11,17,117,260,4,5
11,18,117,260,4,5
11,19,117,260,4,5
11,20,117,260,4,5
12,1,118,261,4,5
12,2,117,261,4,5
12,3,116,261,4,5
12,4,117,261,4,5
12,5,117,261,4,5
12,6,117,261,4,5
12,7,118,261,4,5
12,8,117,261,4,5
12,9,117,261,4,5
12,10,118,261,4,5
12,11,117,261,4,5
12,12,118,261,4,5
12,13,117,261,4,5
12,14,118,261,4,5
12,15,119,261,4,5
12,16,118,261,4,5
12,17,117,261,4,5
12,18,117,261,4,5
12,19,117,261,4,5
12,20,117,261,4,5
13,1,119,262,4,5
13,2,117,262,4,5
13,3,116,262,4,5
13,4,117,262,4,5
13,5,117,262,4,5
13,6,117,262,4,5
13,7,118,262,4,5
13,8,117,262,4,5
13,9,117,262,4,5
13,10,118,262,4,5
13,11,117,262,4,5
13,12,118,262,4,5
13,13,118,262,4,5
13,14,118,262,4,5
13,15,120,262,4,5
13,16,118,262,4,5
13,17,117,262,4,5
13,18,118,262,4,5
13,19,117,262,4,5
13,20,118,262,4,5
14,1,119,263,4,5
14,2,118,263,4,5
14,3,116,263,4,5
14,4,118,263,4,5
14,5,117,263,4,5
14,6,118,263,4,5
14,7,118,263,4,5
14,8,118,263,4,5
14,9,118,263,4,5
14,10,118,263,4,5
14,11,118,263,4,5
14,12,119,263,4,5
14,13,119,263,4,5
14,14,118,263,4,5
14,15,120,263,4,5
14,16,118,263,4,5
14,17,117,263,4,5
14,18,118,263,4,5
14,19,118,263,4,5
14,20,118,263,4,5
