k,seed,first,stable,views,ballot
10,1,99,151,2,3
10,2,98,98,1,2
10,3,98,98,1,2
10,4,99,99,1,2
10,5,99,99,1,2
10,6,99,99,1,2
10,7,98,98,1,2
10,8,99,99,1,2
10,9,99,151,2,3
10,10,99,151,2,3
10,11,98,98,1,2
10,12,100,100,1,2
10,13,98,151,2,3
10,14,99,99,1,2
10,15,100,100,1,2
10,16,99,151,2,3
10,17,100,151,2,3
10,18,99,99,1,2
10,19,99,151,2,3
10,20,99,99,1,2
11,1,99,152,2,3
11,2,99,99,1,2
11,3,98,98,1,2
11,4,99,99,1,2
11,5,99,99,1,2
11,6,99,99,1,2
11,7,99,152,2,3
11,8,99,99,1,2
11,9,100,152,2,3
11,10,100,152,2,3
11,11,99,99,1,2
11,12,100,152,2,3
11,13,99,152,2,3
11,14,100,100,1,2
11,15,100,100,1,2
11,16,99,152,2,3
11,17,100,152,2,3
11,18,99,99,1,2
11,19,100,152,2,3
11,20,99,99,1,2
12,1,100,153,2,3
12,2,99,99,1,2
12,3,98,153,2,3
12,4,100,100,1,2
12,5,99,153,2,3
12,6,99,99,1,2
12,7,100,153,2,3
12,8,99,153,2,3
12,9,100,153,2,3
12,10,100,153,2,3
12,11,100,153,2,3
12,12,100,153,2,3
12,13,99,153,2,3
12,14,100,100,1,2
12,15,101,153,2,3
12,16,100,153,2,3
12,17,100,153,2,3
12,18,99,99,1,2
12,19,100,153,2,3
12,20,99,99,1,2
