scheduler,seed,k,messages_sent,scheduler_steps,paxos_retries,nack_messages,max_ballot_seen,safety_violation
random,174,0,40,40,1,1,2,false
random,175,0,40,40,1,1,2,false
random,176,0,40,40,1,1,2,false
random,177,0,20,20,0,0,0,false
random,178,0,20,20,0,0,0,false
random,179,0,20,20,0,0,0,false
random,180,0,20,20,0,0,0,false
random,181,0,40,40,1,1,2,false
random,182,0,20,20,0,0,0,false
random,183,0,180,180,9,13,10,false
random,184,0,20,20,0,0,0,false
random,185,0,20,20,0,0,0,false
random,186,0,20,20,0,0,0,false
random,187,0,20,20,0,0,0,false
random,188,0,40,40,1,2,2,false
random,189,0,20,20,0,0,0,false
random,190,0,20,20,0,0,0,false
random,191,0,20,20,0,0,0,false
random,192,0,20,20,0,0,0,false
random,193,0,20,20,0,0,0,false
random,194,0,20,20,0,0,0,false
random,195,0,20,20,0,0,0,false
random,196,0,20,20,0,0,0,false
random,197,0,20,20,0,0,0,false
random,198,0,240,240,13,22,14,false
random,199,0,20,20,0,0,0,false
random,200,0,20,20,0,0,0,false
critical-delay,42,0,20,20,0,0,0,false
critical-delay,42,1,20,20,0,0,0,false
critical-delay,42,2,20,20,0,0,0,false
critical-delay,42,3,20,20,0,0,0,false
critical-delay,42,4,20,20,0,0,0,false
critical-delay,42,5,20,20,0,0,0,false
critical-delay,42,6,20,20,0,0,0,false
critical-delay,42,7,20,20,0,0,0,false
critical-delay,42,8,20,20,0,0,0,false
critical-delay,42,9,20,20,0,0,0,false
critical-delay,42,10,20,20,0,0,0,false
critical-delay,42,11,20,20,0,0,0,false
critical-delay,42,12,20,20,0,0,0,false
critical-delay,42,13,20,20,0,0,0,false
critical-delay,42,14,20,20,0,0,0,false
critical-delay,42,15,20,20,0,0,0,false
critical-delay,42,16,20,20,0,0,0,false
critical-delay,42,17,20,20,0,0,0,false
critical-delay,42,18,20,20,0,0,0,false
critical-delay,42,19,20,20,0,0,0,false
critical-delay,42,20,20,20,0,0,0,false
