1,162,164,10,14,11,false,4
2,22,24,1,0,2,false,2
3,72,74,4,4,5,false,2
4,82,84,5,6,6,false,3
5,82,84,6,6,7,false,3
6,62,64,3,2,4,false,2
7,42,44,2,1,3,false,2
8,152,154,9,12,10,false,4
9,62,64,3,2,4,false,2
10,252,254,16,24,17,false,5
11,252,254,17,21,18,false,5
12,112,114,7,14,8,false,4
13,62,64,4,3,5,false,3
14,42,44,2,2,3,false,2
15,182,184,11,16,12,false,4
16,62,64,3,2,4,false,2
17,112,114,7,9,8,false,4
18,82,84,4,4,5,false,3
19,22,24,1,0,2,false,2
20,112,114,7,9,8,false,3
21,22,24,1,0,2,false,2
22,22,24,1,0,2,false,2
23,52,54,3,2,4,false,3
24,202,204,11,18,12,false,4
25,132,134,7,9,8,false,3
26,32,34,2,1,3,false,2
27,152,154,9,16,10,false,5
28,112,114,7,12,8,false,4
29,62,64,3,4,4,false,3
30,42,44,2,1,3,false,2
31,42,44,2,1,3,false,2
32,42,44,2,1,3,false,2
33,112,114,7,10,8,false,4
34,72,74,4,5,5,false,3
35,72,74,5,6,6,false,3
36,72,74,4,4,5,false,3
37,62,64,4,5,5,false,4
38,102,104,5,4,6,false,2
39,92,94,5,6,6,false,3
40,252,254,18,24,19,false,6
41,82,84,4,5,5,false,4
42,162,164,9,11,10,false,4
43,82,84,5,6,6,false,4
44,42,44,2,3,3,false,3
45,72,74,4,4,5,false,3
46,52,54,3,2,4,false,2
47,32,34,2,1,3,false,2
48,192,194,11,24,12,false,5
49,62,64,3,2,4,false,2
50,142,144,8,11,9,false,3
51,192,194,11,18,12,false,3
52,82,84,4,6,5,false,3
53,52,54,3,2,4,false,3
54,102,104,7,12,8,false,4
55,22,24,1,0,2,false,2
56,22,24,1,0,2,false,2
57,162,164,9,15,10,false,4
58,82,84,4,3,5,false,2
59,42,44,2,1,3,false,2
60,92,94,6,7,7,false,3
61,82,84,5,7,6,false,4
62,92,94,5,6,6,false,3
63,42,44,2,1,3,false,2
64,52,54,3,3,4,false,3
65,102,104,5,5,6,false,3
66,82,84,4,6,5,false,3
67,52,54,3,3,4,false,3
68,62,64,3,3,4,false,3
69,22,24,1,0,2,false,2
70,82,84,4,3,5,false,2
71,22,24,1,0,2,false,2
72,112,114,6,11,7,false,4
73,132,134,7,10,8,false,4
74,62,64,3,3,4,false,3
75,122,124,7,9,8,false,3
76,192,194,12,17,13,false,4
77,42,44,2,3,3,false,3
78,42,44,2,2,3,false,2
79,42,44,2,2,3,false,3
80,132,134,8,16,9,false,5
81,82,84,4,5,5,false,3
82,22,24,1,0,2,false,2
83,22,24,1,0,2,false,2
84,232,234,13,19,14,false,3
85,22,24,1,0,2,false,2
86,22,24,1,0,2,false,2
87,172,174,10,15,11,false,4
88,122,124,7,7,8,false,3
89,52,54,3,2,4,false,3
90,102,104,7,8,8,false,4
91,22,24,1,0,2,false,2
92,32,34,2,1,3,false,3
93,52,54,3,4,4,false,3
94,22,24,1,0,2,false,2
95,112,114,7,11,8,false,4
96,82,84,5,5,6,false,3
97,122,124,7,10,8,false,5
98,42,44,3,2,4,false,3
99,32,34,2,2,3,false,3
100,92,94,7,11,8,false,5
101,92,94,5,5,6,false,3
102,42,44,2,1,3,false,2
103,202,204,12,17,13,false,5
104,52,54,4,4,5,false,3
105,22,24,1,0,2,false,2
106,72,74,4,5,5,false,4
107,252,254,14,21,15,false,4
108,72,74,4,4,5,false,4
109,192,194,10,16,11,false,4
110,152,154,9,13,10,false,4
111,42,44,2,1,3,false,2
112,52,54,3,3,4,false,3
113,62,64,4,4,5,false,3
114,52,54,3,3,4,false,3
115,122,124,7,13,8,false,4
116,122,124,6,5,7,false,2
117,52,54,3,4,4,false,3
118,32,34,2,1,3,false,2
119,62,64,3,3,4,false,3
120,42,44,2,1,3,false,2
121,22,24,1,0,2,false,2
122,132,134,7,7,8,false,3
123,22,24,1,0,2,false,2
124,172,174,10,15,11,false,3
125,42,44,2,1,3,false,2
126,32,34,2,1,3,false,2
127,182,184,11,16,12,false,5
128,122,124,7,9,8,false,4
129,72,74,4,6,5,false,4
130,92,94,5,6,6,false,3
131,22,24,1,0,2,false,2
132,52,54,3,2,4,false,3
133,132,134,8,12,9,false,5
134,42,44,2,3,3,false,3
135,52,54,3,3,4,false,4
136,52,54,3,5,4,false,3
137,42,44,3,3,4,false,4
138,142,144,8,12,9,false,4
139,82,84,5,5,6,false,3
140,162,164,10,12,11,false,3
141,42,44,2,1,3,false,2
142,52,54,4,3,5,false,3
143,42,44,2,2,3,false,2
144,62,64,3,4,4,false,3
145,72,74,4,10,5,false,5
146,42,44,2,2,3,false,3
147,112,114,7,7,8,false,4
148,22,24,1,0,2,false,2
149,132,134,7,11,8,false,3
150,52,54,3,4,4,false,3
151,42,44,2,2,3,false,3
152,92,94,5,5,6,false,3
153,42,44,2,2,3,false,2
154,22,24,1,0,2,false,2
155,82,84,4,3,5,false,2
156,72,74,4,4,5,false,3
157,62,64,4,5,5,false,4
158,212,214,12,26,13,false,4
159,82,84,6,9,7,false,5
160,62,64,3,2,4,false,2
161,72,74,5,6,6,false,4
162,52,54,3,2,4,false,2
163,92,94,5,5,6,false,3
164,62,64,3,3,4,false,3
165,82,84,4,5,5,false,3
166,22,24,1,0,2,false,2
167,22,24,1,0,2,false,2
168,52,54,3,2,4,false,3
169,242,244,15,21,16,false,5
170,52,54,3,2,4,false,3
171,42,44,2,1,3,false,2
172,42,44,2,1,3,false,2
173,142,144,9,11,10,false,5
174,72,74,4,4,5,false,3
175,62,64,4,6,5,false,4
176,72,74,4,7,5,false,4
177,52,54,3,4,4,false,3
178,142,144,8,11,9,false,4
179,52,54,3,3,4,false,3
180,82,84,4,4,5,false,3
181,62,64,4,3,5,false,2
182,42,44,2,1,3,false,2
183,72,74,5,6,6,false,4
184,52,54,3,3,4,false,3
185,152,154,9,16,10,false,4
186,82,84,4,3,5,false,2
187,82,84,4,5,5,false,3
188,62,64,3,4,4,false,3
189,32,34,2,2,3,false,3
190,22,24,1,0,2,false,2
191,62,64,3,2,4,false,2
192,62,64,3,2,4,false,2
193,72,74,4,4,5,false,3
194,102,104,5,4,6,false,2
195,22,24,1,0,2,false,2
196,42,44,2,2,3,false,2
197,42,44,2,1,3,false,2
198,62,64,3,3,4,false,3
199,72,74,4,6,5,false,4
200,62,64,5,6,6,false,4
