scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,105,1,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,2,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,3,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,4,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,5,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,6,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,7,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,8,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,9,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,10,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,11,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,12,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,13,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,14,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,15,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,16,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,17,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,18,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,19,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,20,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,21,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,22,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,23,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,24,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,25,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,26,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,27,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,28,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,29,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,30,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,31,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,32,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,33,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,34,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,35,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,36,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,37,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,38,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,39,25,13,12,100,256,1,1,1,2,false,false
uniform-budget-delay,105,40,25,13,12,100,256,1,1,1,2,false,false
