scheduler,seed,p,k,steps,timeouts,decisions,retries,max_ballot
prob-interleaved-uniform-budget-delay,1,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,2,0.4,40,141,5,1,5,6
prob-interleaved-uniform-budget-delay,3,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,4,0.4,40,25,0,1,0,0
prob-interleaved-uniform-budget-delay,5,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,6,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,7,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,8,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,9,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,10,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,11,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,12,0.4,40,27,0,1,0,0
prob-interleaved-uniform-budget-delay,13,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,14,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,15,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,16,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,17,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,18,0.4,40,26,0,1,0,0
prob-interleaved-uniform-budget-delay,19,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,20,0.4,40,33,0,1,0,0
prob-interleaved-uniform-budget-delay,21,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,22,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,23,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,24,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,25,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,26,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,27,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,28,0.4,40,34,0,1,0,0
prob-interleaved-uniform-budget-delay,29,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,30,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,31,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,32,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,33,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,34,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,35,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,36,0.4,40,151,8,1,8,9
prob-interleaved-uniform-budget-delay,37,0.4,40,151,6,1,6,7
prob-interleaved-uniform-budget-delay,38,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,39,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,40,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,41,0.4,40,32,0,1,0,0
prob-interleaved-uniform-budget-delay,42,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,43,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,44,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,45,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,46,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,47,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,48,0.4,40,60,1,1,1,2
prob-interleaved-uniform-budget-delay,49,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,50,0.4,40,27,0,1,0,0
prob-interleaved-uniform-budget-delay,51,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,52,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,53,0.4,40,27,0,1,0,0
prob-interleaved-uniform-budget-delay,54,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,55,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,56,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,57,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,58,0.4,40,33,0,1,0,0
prob-interleaved-uniform-budget-delay,59,0.4,40,26,0,1,0,0
prob-interleaved-uniform-budget-delay,60,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,61,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,62,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,63,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,64,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,65,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,66,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,67,0.4,40,87,3,1,3,4
prob-interleaved-uniform-budget-delay,68,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,69,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,70,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,71,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,72,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,73,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,74,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,75,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,76,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,77,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,78,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,79,0.4,40,57,1,1,1,2
prob-interleaved-uniform-budget-delay,80,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,81,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,82,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,83,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,84,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,85,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,86,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,87,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,88,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,89,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,90,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,91,0.4,40,48,1,1,1,2
prob-interleaved-uniform-budget-delay,92,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,93,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,94,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,95,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,96,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,97,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,98,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,99,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,100,0.4,40,58,1,1,1,2
prob-interleaved-uniform-budget-delay,101,0.4,40,26,0,1,0,0
prob-interleaved-uniform-budget-delay,102,0.4,40,141,5,1,5,6
prob-interleaved-uniform-budget-delay,103,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,104,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,105,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,106,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,107,0.4,40,34,0,1,0,0
prob-interleaved-uniform-budget-delay,108,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,109,0.4,40,32,0,1,0,0
prob-interleaved-uniform-budget-delay,110,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,111,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,112,0.4,40,141,5,1,5,6
prob-interleaved-uniform-budget-delay,113,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,114,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,115,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,116,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,117,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,118,0.4,40,91,3,1,3,4
prob-interleaved-uniform-budget-delay,119,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,120,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,121,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,122,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,123,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,124,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,125,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,126,0.4,40,62,1,1,1,2
prob-interleaved-uniform-budget-delay,127,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,128,0.4,40,151,6,1,6,7
prob-interleaved-uniform-budget-delay,129,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,130,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,131,0.4,40,151,7,1,7,8
prob-interleaved-uniform-budget-delay,132,0.4,40,141,7,1,7,8
