scheduler,seed,p,k,steps,timeouts,decisions,retries,max_ballot
prob-interleaved-uniform-budget-delay,133,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,134,0.4,40,58,1,1,1,2
prob-interleaved-uniform-budget-delay,135,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,136,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,137,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,138,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,139,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,140,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,141,0.4,40,27,0,1,0,0
prob-interleaved-uniform-budget-delay,142,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,143,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,144,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,145,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,146,0.4,40,47,1,1,1,2
prob-interleaved-uniform-budget-delay,147,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,148,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,149,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,150,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,151,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,152,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,153,0.4,40,58,1,1,1,2
prob-interleaved-uniform-budget-delay,154,0.4,40,36,0,1,0,0
prob-interleaved-uniform-budget-delay,155,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,156,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,157,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,158,0.4,40,151,7,1,7,8
prob-interleaved-uniform-budget-delay,159,0.4,40,151,7,1,7,8
prob-interleaved-uniform-budget-delay,160,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,161,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,162,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,163,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,164,0.4,40,28,0,1,0,0
prob-interleaved-uniform-budget-delay,165,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,166,0.4,40,141,6,1,6,7
prob-interleaved-uniform-budget-delay,167,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,168,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,169,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,170,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,171,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,172,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,173,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,174,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,175,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,176,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,177,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,178,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,179,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,180,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,181,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,182,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,183,0.4,40,30,0,1,0,0
prob-interleaved-uniform-budget-delay,184,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,185,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,186,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,187,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,188,0.4,40,151,8,1,8,9
prob-interleaved-uniform-budget-delay,189,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,190,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,191,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,192,0.4,40,131,7,1,7,8
prob-interleaved-uniform-budget-delay,193,0.4,40,131,6,1,6,7
prob-interleaved-uniform-budget-delay,194,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,195,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,196,0.4,40,31,0,1,0,0
prob-interleaved-uniform-budget-delay,197,0.4,40,141,7,1,7,8
prob-interleaved-uniform-budget-delay,198,0.4,40,151,8,1,8,9
prob-interleaved-uniform-budget-delay,199,0.4,40,29,0,1,0,0
prob-interleaved-uniform-budget-delay,200,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,1,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,2,0.4,40,141,5,1,5,6
prob-interleaved-targeted-budget-delay,3,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,4,0.4,40,25,0,1,0,0
prob-interleaved-targeted-budget-delay,5,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,6,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,7,0.4,40,33,0,1,0,0
prob-interleaved-targeted-budget-delay,8,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,9,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,10,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,11,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,12,0.4,40,27,0,1,0,0
prob-interleaved-targeted-budget-delay,13,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,14,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,15,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,16,0.4,40,34,0,1,0,0
prob-interleaved-targeted-budget-delay,17,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,18,0.4,40,26,0,1,0,0
prob-interleaved-targeted-budget-delay,19,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,20,0.4,40,33,0,1,0,0
prob-interleaved-targeted-budget-delay,21,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,22,0.4,40,74,2,1,2,3
prob-interleaved-targeted-budget-delay,23,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,24,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,25,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,26,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,27,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,28,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,29,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,30,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,31,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,32,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,33,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,34,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,35,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,36,0.4,40,151,8,1,8,9
prob-interleaved-targeted-budget-delay,37,0.4,40,151,6,1,6,7
prob-interleaved-targeted-budget-delay,38,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,39,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,40,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,41,0.4,40,32,0,1,0,0
prob-interleaved-targeted-budget-delay,42,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,43,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,44,0.4,40,33,0,1,0,0
prob-interleaved-targeted-budget-delay,45,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,46,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,47,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,48,0.4,40,60,1,1,1,2
prob-interleaved-targeted-budget-delay,49,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,50,0.4,40,27,0,1,0,0
prob-interleaved-targeted-budget-delay,51,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,52,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,53,0.4,40,27,0,1,0,0
prob-interleaved-targeted-budget-delay,54,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,55,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,56,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,57,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,58,0.4,40,33,0,1,0,0
prob-interleaved-targeted-budget-delay,59,0.4,40,26,0,1,0,0
prob-interleaved-targeted-budget-delay,60,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,61,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,62,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,63,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,64,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,65,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,66,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,67,0.4,40,87,3,1,3,4
prob-interleaved-targeted-budget-delay,68,0.4,40,151,7,1,7,8
prob-interleaved-targeted-budget-delay,69,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,70,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,71,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,72,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,73,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,74,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,75,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,76,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,77,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,78,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,79,0.4,40,57,1,1,1,2
prob-interleaved-targeted-budget-delay,80,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,81,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,82,0.4,40,47,1,1,1,2
prob-interleaved-targeted-budget-delay,83,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,84,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,85,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,86,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,87,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,88,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,89,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,90,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,91,0.4,40,48,1,1,1,2
prob-interleaved-targeted-budget-delay,92,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,93,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,94,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,95,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,96,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,97,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,98,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,99,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,100,0.4,40,58,1,1,1,2
prob-interleaved-targeted-budget-delay,101,0.4,40,26,0,1,0,0
prob-interleaved-targeted-budget-delay,102,0.4,40,141,5,1,5,6
prob-interleaved-targeted-budget-delay,103,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,104,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,105,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,106,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,107,0.4,40,34,0,1,0,0
prob-interleaved-targeted-budget-delay,108,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,109,0.4,40,32,0,1,0,0
prob-interleaved-targeted-budget-delay,110,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,111,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,112,0.4,40,141,4,1,4,5
prob-interleaved-targeted-budget-delay,113,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,114,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,115,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,116,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,117,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,118,0.4,40,91,3,1,3,4
prob-interleaved-targeted-budget-delay,119,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,120,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,121,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,122,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,123,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,124,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,125,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,126,0.4,40,47,1,1,1,2
prob-interleaved-targeted-budget-delay,127,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,128,0.4,40,151,6,1,6,7
prob-interleaved-targeted-budget-delay,129,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,130,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,131,0.4,40,151,7,1,7,8
prob-interleaved-targeted-budget-delay,132,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,133,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,134,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,135,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,136,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,137,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,138,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,139,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,140,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,141,0.4,40,27,0,1,0,0
prob-interleaved-targeted-budget-delay,142,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,143,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,144,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,145,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,146,0.4,40,59,2,1,2,3
prob-interleaved-targeted-budget-delay,147,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,148,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,149,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,150,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,151,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,152,0.4,40,29,0,1,0,0
prob-interleaved-targeted-budget-delay,153,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,154,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,155,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,156,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,157,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,158,0.4,40,151,7,1,7,8
prob-interleaved-targeted-budget-delay,159,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,160,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,161,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,162,0.4,40,141,6,1,6,7
prob-interleaved-targeted-budget-delay,163,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,164,0.4,40,28,0,1,0,0
prob-interleaved-targeted-budget-delay,165,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,166,0.4,40,32,0,1,0,0
prob-interleaved-targeted-budget-delay,167,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,168,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,169,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,170,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,171,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,172,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,173,0.4,40,31,0,1,0,0
prob-interleaved-targeted-budget-delay,174,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,175,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,176,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,177,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,178,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,179,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,180,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,181,0.4,40,141,7,1,7,8
prob-interleaved-targeted-budget-delay,182,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,183,0.4,40,30,0,1,0,0
prob-interleaved-targeted-budget-delay,184,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,185,0.4,40,131,6,1,6,7
prob-interleaved-targeted-budget-delay,186,0.4,40,131,7,1,7,8
prob-interleaved-targeted-budget-delay,187,0.4,40,141,7,1,7,8
