scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
progress-aware-quorum-delay,20,35,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,36,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,37,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,38,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,39,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,40,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,41,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,42,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,43,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,44,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,45,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,46,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,47,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,48,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,49,25,13,12,100,121,0,1,0,0,false,false
progress-aware-quorum-delay,20,50,25,13,12,100,121,0,1,0,0,false,false
uniform-budget-delay,40,1,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,2,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,3,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,4,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,5,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,6,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,7,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,8,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,9,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,10,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,11,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,12,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,13,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,14,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,15,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,16,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,17,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,18,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,19,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,20,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,21,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,22,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,23,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,24,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,25,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,26,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,27,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,28,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,29,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,30,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,31,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,32,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,33,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,34,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,35,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,36,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,37,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,38,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,39,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,40,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,41,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,42,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,43,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,44,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,45,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,46,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,47,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,48,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,49,25,13,12,100,141,0,1,0,0,false,false
uniform-budget-delay,40,50,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,1,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,2,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,3,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,4,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,5,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,6,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,7,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,8,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,9,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,10,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,11,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,12,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,13,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,14,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,15,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,16,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,17,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,18,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,19,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,20,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,21,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,22,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,23,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,24,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,25,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,26,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,27,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,28,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,29,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,30,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,31,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,32,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,33,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,34,25,13,12,100,141,0,1,0,0,false,false
progress-aware-quorum-delay,40,35,25,13,12,100,141,0,1,0,0,false,false
