scheduler,n,quorum,surplus,seed,k,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,5,3,2,88,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,89,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,90,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,91,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,92,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,93,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,94,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,95,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,96,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,97,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,98,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,99,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,100,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,101,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,102,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,103,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,104,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,105,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,106,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,107,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,108,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,109,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,110,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,111,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,112,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,113,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,114,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,115,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,116,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,117,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,118,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,119,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,120,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,121,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,122,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,123,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,124,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,125,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,126,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,127,15,20,46,1,1,1,2,false,false
